score,content,case folding,remove punctuation
5,"Sudah bagus dan sangat membantu, namun apabila system tracking bus nya dapat memberikan notifikasi kepada pengguna yg menunggu di halte bahwa bus sudah dekat itu lebih bagus lagi dan akan sangat membantu Terimakasih","sudah bagus dan sangat membantu, namun apabila system tracking bus nya dapat memberikan notifikasi kepada pengguna yg menunggu di halte bahwa bus sudah dekat itu lebih bagus lagi dan akan sangat membantu terimakasih",sudah bagus  sangat membantu namun apabila system tracking   dapat memberikan notifikasi kepada pengguna  menunggu  halte bahwa  sudah dekat  lebih bagus lagi  akan sangat membantu terimakasih
5,"untuk mitra darat dalam hal ini kementerian perhubungan saya mengucapkan terima kasih,lumayan,cukup susah untuk masuk daftarnya meskipun sering voucher tidak valid.tapi dengan klik tombol berulang ulang akhirnya bisa masuk tapi ada kendala mengenai jumlah anggota peserta yang di batasi masalahnya tidak semua kartu keluarga berjumlah empat sedangkan kami ada tiga anak dan itupun tidak terdata, mau tidak mau mungkin harus di pangku.demikian salah satu kendala di data kependudukan spy d tmbh kuota","untuk mitra darat dalam hal ini kementerian perhubungan saya mengucapkan terima kasih,lumayan,cukup susah untuk masuk daftarnya meskipun sering voucher tidak valid.tapi dengan klik tombol berulang ulang akhirnya bisa masuk tapi ada kendala mengenai jumlah anggota peserta yang di batasi masalahnya tidak semua kartu keluarga berjumlah empat sedangkan kami ada tiga anak dan itupun tidak terdata, mau tidak mau mungkin harus di pangku.demikian salah satu kendala di data kependudukan spy d tmbh kuota",untuk mitra darat dalam   kementerian perhubungan saya mengucapkan terima kasihlumayancukup susah untuk masuk daftarnya meskipun sering voucher tidak validtapi dengan klik tombol berulang ulang akhirnya bisa masuk tapi  kendala mengenai jumlah anggota peserta yang  batasi masalahnya tidak semua kartu keluarga berjumlah empat sedangkan kami  tiga anak  itupun tidak terdata  tidak  mungkin harus  pangkudemikian salah satu kendala  data kependudukan   tmbh kuota
5,"Sebelumnya saya ingin mengucapkan terima kasih. Dengan adanya aplikasi friendly user, gampang digunakan bahkan untuk pemula sekalipun. Saya merasa terbantu pada saat mudik gratis, tidak neko2 tidak KKN dengan para petugas yg ramah dan sabar saat validasi, sungguh ini sangat kami apresiasi. Terima kasih sdh berikan pelayanan yg terbaik buat kami.","sebelumnya saya ingin mengucapkan terima kasih. dengan adanya aplikasi friendly user, gampang digunakan bahkan untuk pemula sekalipun. saya merasa terbantu pada saat mudik gratis, tidak neko2 tidak kkn dengan para petugas yg ramah dan sabar saat validasi, sungguh ini sangat kami apresiasi. terima kasih sdh berikan pelayanan yg terbaik buat kami.",sebelumnya saya ingin mengucapkan terima kasih dengan adanya aplikasi friendly user gampang digunakan bahkan untuk pemula sekalipun saya merasa terbantu pada saat mudik gratis tidak neko tidak  dengan para petugas  ramah  sabar saat validasi sungguh  sangat kami apresiasi terima kasih  berikan pelayanan  terbaik buat kami
5,saya rute bus trans banjarbakula aplikasi ini sangat membantu kami dan memudahkan buat para pengguna bagi yang menggunakan layanan fasilitas umum kalau bisa ditambah lagi halte anjir timbangan mobil barang,saya rute bus trans banjarbakula aplikasi ini sangat membantu kami dan memudahkan buat para pengguna bagi yang menggunakan layanan fasilitas umum kalau bisa ditambah lagi halte anjir timbangan mobil barang,saya rute  trans banjarbakula aplikasi  sangat membantu kami  memudahkan buat para pengguna bagi yang menggunakan layanan fasilitas umum kalau bisa ditambah lagi halte anjir timbangan mobil barang
5,"Di kota Pekanbaru khusus koridor awal Bros - Panam (UIN )pelayanan tidak maksimal, apalagi jam berangkat di pagi tidak jelas jam berapa trip pertama ,jadi kami mohon kepada pihak terkait supaya memperbaiki layanannya, terimakasih 🙏","di kota pekanbaru khusus koridor awal bros - panam (uin )pelayanan tidak maksimal, apalagi jam berangkat di pagi tidak jelas jam berapa trip pertama ,jadi kami mohon kepada pihak terkait supaya memperbaiki layanannya, terimakasih 🙏", kota pekanbaru khusus koridor awal bros panam  pelayanan tidak maksimal apalagi  berangkat  pagi tidak jelas  berapa trip pertama jadi kami mohon kepada pihak terkait supaya memperbaiki layanannya terimakasih
5,"alangkah baiknya, ditambahkan keterangan dan penjelasan.. apakah ciri/kode bus dan tujuan awal dan akhirnya?. sebagai contoh; saya ingin ikut bus, dari Banjarmasin menuju Banjarbaru (cukup 1 bus,tidak transit) nah betambah pulang tetakunan ulun. mun handak basapida, kawalah masih ? anu, lewat mana tatakunan yang fastrespon lh ?","alangkah baiknya, ditambahkan keterangan dan penjelasan.. apakah ciri/kode bus dan tujuan awal dan akhirnya?. sebagai contoh; saya ingin ikut bus, dari banjarmasin menuju banjarbaru (cukup 1 bus,tidak transit) nah betambah pulang tetakunan ulun. mun handak basapida, kawalah masih ? anu, lewat mana tatakunan yang fastrespon lh ?",alangkah baiknya ditambahkan keterangan  penjelasan apakah cirikode   tujuan awal  akhirnya sebagai contoh saya ingin ikut  dari banjarmasin menuju banjarbaru cukup bustidak transit  betambah pulang tetakunan ulun  handak basapida kawalah masih  lewat mana tatakunan yang fastrespon 
5,"Tolong diperbaiki sistem mudik gratisnya, kalo udah pilih kursi dan ngisi data harusnya udah jadi hak milik.. jangan tiba"" udh diisi orang lain dan tambahkan opsi batalkan tiket","tolong diperbaiki sistem mudik gratisnya, kalo udah pilih kursi dan ngisi data harusnya udah jadi hak milik.. jangan tiba"" udh diisi orang lain dan tambahkan opsi batalkan tiket",tolong diperbaiki sistem mudik gratisnya kalo udah pilih kursi  ngisi data harusnya udah jadi  milik jangan tiba  diisi orang lain  tambahkan opsi batalkan tiket
5,"Aplikasi sangat bagus, tampilan mudah dimengerti, semua fitur sangat bagus dikemas dalam interface yang rapih, pengingat kedatangan bus yang paling berguna, hanya terkadang live trackingnya agak sedikit terlambat, sisanya oke.","aplikasi sangat bagus, tampilan mudah dimengerti, semua fitur sangat bagus dikemas dalam interface yang rapih, pengingat kedatangan bus yang paling berguna, hanya terkadang live trackingnya agak sedikit terlambat, sisanya oke.",aplikasi sangat bagus tampilan mudah dimengerti semua fitur sangat bagus dikemas dalam interface yang rapih pengingat kedatangan  yang paling berguna hanya terkadang live trackingnya agak sedikit terlambat sisanya 
5,Sudah bagus aplikasinya agar lebih fleksibel dan dapat digunakan oleh disabilitas penglihatan tolong tambahkan menu bus terdekat dan pada setiap koridor bus tombol lihat detail yang muncul di map itu dibuat agar bisa terbaca oleh pembaca layar,sudah bagus aplikasinya agar lebih fleksibel dan dapat digunakan oleh disabilitas penglihatan tolong tambahkan menu bus terdekat dan pada setiap koridor bus tombol lihat detail yang muncul di map itu dibuat agar bisa terbaca oleh pembaca layar,sudah bagus aplikasinya agar lebih fleksibel  dapat digunakan oleh disabilitas penglihatan tolong tambahkan menu  terdekat  pada setiap koridor  tombol lihat detail yang muncul    dibuat agar bisa terbaca oleh pembaca layar
5,Sangat membantu utk pengecekan kelaikan kendaraan Terimakasih,sangat membantu utk pengecekan kelaikan kendaraan terimakasih,sangat membantu  pengecekan kelaikan kendaraan terimakasih
